"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","participant_id","list_name","rt","stimulus","response","texture"
"true","false","[]","[]","[]","preload","0","1","0.0-0.0","23ahc0uf71","33","textures_list1","","","",""
"","","","","","html-button-response","1","127669","0.0-1.0","23ahc0uf71","33","textures_list1","127668","<div style='text-align:center; font-size:20px; line-height:25px; width: 1200px;'>
                Welcome to our experiment! <br>
                <br>At the bottom of this screen, you will see a button that says 'Begin Experiment.
                <br>Please only click that button when you are ready to complete the 25 minute experiment in one sitting. <br>
                <br> Once you click that button, it will not be possible to restart the experiment. <br><br>","0",""
"true","","","","","fullscreen","2","129455","0.0-2.0","23ahc0uf71","33","textures_list1","783","","",""
"","","","","","html-button-response","3","194500","0.0-3.0","23ahc0uf71","33","textures_list1","65045","
        <div style=""width:100%; display:flex; justify-content:center; align-items: flex-start; height: auto; flex-direction: column; margin-top: 80px; margin-bottom: 50px;"">

            <!-- Centered Header Text -->
            <div style=""width:1200px; text-align:left; font-size:24px; margin-top: auto; margin-left: 80px;"">
                During this experiment, you will be presented with a series of texture tiles like this one (hold up smooth tile to show them).
                <br><br> In front of you is a box with 9 texture tiles layed out in 3 rows of three. Please take a moment to feel each of these texture tiles as I explain your task.
                <br><br> During this experiment, you will feel a series of textures, one at a time, like the ones you are feeling now.
                <br><br> Some of the textures will feel very 'uniform,' which means they feel similar across the whole surface of the tile.
                <br> And some of the textures will feel very 'non-uniform,' which means they feel different in different parts of the tile.
                <br><br> Your task is to rate how uniform the texture feels on a scale from 1 indicating they are 'not at all uniform' to 7 indicating they are 'very much uniform'.
                <br><br> So you know what 'very much uniform' and 'not at all uniform' means to you in the context of these textures, please think about which textures in front of you, you consider 'very much uniform,' and which textures you consider 'not at all uniform.'
                <br><br> You will be asked to rate each texture on its uniformity by verbally stating a number on a scale from 1 to 7. Please make your rating based on your initial intuitions for each texture.
                <br><br> Please be sure to feel the entire texture tile as you make your ratings and use the full range of the scale in your ratings.
                <br><br> Do you have any questions before we begin?
            </div>
        ","0",""
"","","","","","html-keyboard-response","4","207973","0.0-4.0","23ahc0uf71","33","textures_list1","13472","<p>You have been assigned to <strong>textures_list1</strong>.</p>
               <p>Press any key to begin the experiment.</p>"," ",""
"","","","","","survey-text","5","222973","0.0-5.0","23ahc0uf71","33","textures_list1","14999","","{""Q0"":""6""}","D35"
"","","","","","survey-text","6","243789","0.0-6.0","23ahc0uf71","33","textures_list1","20814","","{""Q0"":""4""}","D70"
"","","","","","survey-text","7","262133","0.0-7.0","23ahc0uf71","33","textures_list1","18342","","{""Q0"":""3""}","D58"
"","","","","","survey-text","8","278733","0.0-8.0","23ahc0uf71","33","textures_list1","16598","","{""Q0"":""6""}","D92"
"","","","","","survey-text","9","294924","0.0-9.0","23ahc0uf71","33","textures_list1","16191","","{""Q0"":""5""}","D20"
"","","","","","survey-text","10","311860","0.0-10.0","23ahc0uf71","33","textures_list1","16935","","{""Q0"":""7""}","D36"
"","","","","","survey-text","11","327716","0.0-11.0","23ahc0uf71","33","textures_list1","15854","","{""Q0"":""1""}","D89"
"","","","","","survey-text","12","339500","0.0-12.0","23ahc0uf71","33","textures_list1","11782","","{""Q0"":""4""}","D96"
